danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,skip_state,date_saved,skip_probability
0.625,0.726,1,-2.144,1,0.031,0.335,0.0,0.273,0.559,119.994,audio_features,4ClnJdCaf6PLeLgStqb1e9,spotify:track:4ClnJdCaf6PLeLgStqb1e9,https://api.spotify.com/v1/tracks/4ClnJdCaf6PLeLgStqb1e9,https://api.spotify.com/v1/audio-analysis/4ClnJdCaf6PLeLgStqb1e9,138800,4,SKIPPEP,2022-10-23 12:11:13.989002,0.0
0.502,0.972,10,-3.96,0,0.0793,6.78e-05,0.000702,0.0627,0.729,138.019,audio_features,3twNvmDtFQtAd5gMKedhLD,spotify:track:3twNvmDtFQtAd5gMKedhLD,https://api.spotify.com/v1/tracks/3twNvmDtFQtAd5gMKedhLD,https://api.spotify.com/v1/audio-analysis/3twNvmDtFQtAd5gMKedhLD,197280,4,SKIPPEP,2022-10-23 12:11:57.420438,0.0
0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,audio_features,6mcxQ1Y3uQRU0IHsvdNLH1,spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1,https://api.spotify.com/v1/tracks/6mcxQ1Y3uQRU0IHsvdNLH1,https://api.spotify.com/v1/audio-analysis/6mcxQ1Y3uQRU0IHsvdNLH1,236973,4,SKIPPEP,2022-10-23 12:12:02.145146,0.0
0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,audio_features,6ndmKwWqMozN2tcZqzCX4K,spotify:track:6ndmKwWqMozN2tcZqzCX4K,https://api.spotify.com/v1/tracks/6ndmKwWqMozN2tcZqzCX4K,https://api.spotify.com/v1/audio-analysis/6ndmKwWqMozN2tcZqzCX4K,230493,4,,,
